Hello from block 1, thread 0
Hello from block 1, thread 1
Hello from block 1, thread 2
Hello from block 1, thread 3
Hello from block 1, thread 4
Hello from block 1, thread 5
Hello from block 1, thread 6
Hello from block 1, thread 7
Hello from block 1, thread 8
Hello from block 1, thread 9
Hello from block 7, thread 0
Hello from block 7, thread 1
Hello from block 7, thread 2
Hello from block 7, thread 3
Hello from block 7, thread 4
Hello from block 7, thread 5
Hello from block 7, thread 6
Hello from block 7, thread 7
Hello from block 7, thread 8
Hello from block 7, thread 9
Hello from block 3, thread 0
Hello from block 3, thread 1
Hello from block 3, thread 2
Hello from block 3, thread 3
Hello from block 3, thread 4
Hello from block 3, thread 5
Hello from block 3, thread 6
Hello from block 3, thread 7
Hello from block 3, thread 8
Hello from block 3, thread 9
Hello from block 9, thread 0
Hello from block 9, thread 1
Hello from block 9, thread 2
Hello from block 9, thread 3
Hello from block 9, thread 4
Hello from block 9, thread 5
Hello from block 9, thread 6
Hello from block 9, thread 7
Hello from block 9, thread 8
Hello from block 9, thread 9
Hello from block 0, thread 0
Hello from block 0, thread 1
Hello from block 0, thread 2
Hello from block 0, thread 3
Hello from block 0, thread 4
Hello from block 0, thread 5
Hello from block 0, thread 6
Hello from block 0, thread 7
Hello from block 0, thread 8
Hello from block 0, thread 9
Hello from block 5, thread 0
Hello from block 5, thread 1
Hello from block 5, thread 2
Hello from block 5, thread 3
Hello from block 5, thread 4
Hello from block 5, thread 5
Hello from block 5, thread 6
Hello from block 5, thread 7
Hello from block 5, thread 8
Hello from block 5, thread 9
Hello from block 6, thread 0
Hello from block 6, thread 1
Hello from block 6, thread 2
Hello from block 6, thread 3
Hello from block 6, thread 4
Hello from block 6, thread 5
Hello from block 6, thread 6
Hello from block 6, thread 7
Hello from block 6, thread 8
Hello from block 6, thread 9
Hello from block 4, thread 0
Hello from block 4, thread 1
Hello from block 4, thread 2
Hello from block 4, thread 3
Hello from block 4, thread 4
Hello from block 4, thread 5
Hello from block 4, thread 6
Hello from block 4, thread 7
Hello from block 4, thread 8
Hello from block 4, thread 9
Hello from block 2, thread 0
Hello from block 2, thread 1
Hello from block 2, thread 2
Hello from block 2, thread 3
Hello from block 2, thread 4
Hello from block 2, thread 5
Hello from block 2, thread 6
Hello from block 2, thread 7
Hello from block 2, thread 8
Hello from block 2, thread 9
Hello from block 8, thread 0
Hello from block 8, thread 1
Hello from block 8, thread 2
Hello from block 8, thread 3
Hello from block 8, thread 4
Hello from block 8, thread 5
Hello from block 8, thread 6
Hello from block 8, thread 7
Hello from block 8, thread 8
Hello from block 8, thread 9
