GPU, 512, 512, 16, 16, 32, 32, 10000,  0.2354743
GPU, 1024, 1024, 16, 16, 64, 64, 10000,  0.6255318
GPU, 2048, 2048, 16, 16, 128, 128, 10000,  1.9399569
GPU, 4096, 4096, 16, 16, 256, 256, 10000,  7.0763502
