# num_threads, NX, NY, MAX_ITER, time_totale, time_jacobi
OMP, 1, 4096, 4096, 1000, 21.890, 21.888
# num_threads, NX, NY, MAX_ITER, time_totale, time_jacobi
OMP, 2, 4096, 4096, 1000, 12.561, 12.559
# num_threads, NX, NY, MAX_ITER, time_totale, time_jacobi
OMP, 4, 4096, 4096, 1000, 8.100, 8.098
# num_threads, NX, NY, MAX_ITER, time_totale, time_jacobi
OMP, 8, 4096, 4096, 1000, 6.256, 6.254
